# One Club — carousel engagement log. One row per posted carousel.
# Fill views/comments/saves/shares from Buffer weekly; dms/tag from ManyChat; emails/founding500 from Brevo.
# Then: node scripts/angle-report.mjs
date,slug,angle,trigger,views,comments,saves,shares,dms,emails,founding500,notes
2026-07-27,permission-slip,System Critique & Economic Grievance,BLUEPRINT,,,,,,,,first carousel — baseline
2026-07-28,faceless-affiliate-playbook,Faceless AI Affiliate Marketing,EBOOK,,,,,,,,value-first deck — no pitch
2026-07-29,alt1-the-offer-decides,Faceless AI Affiliate — offer selection,EBOOK,,,,,,,,5-slide alternative — not yet posted
2026-07-29,alt2-nobody-was-watching,Faceless AI Affiliate — content formats,EBOOK,,,,,,,,5-slide alternative — not yet posted
2026-07-29,alt3-first-30-are-research,Faceless AI Affiliate — publishing rhythm,EBOOK,,,,,,,,5-slide alternative — not yet posted
2026-07-29,alt4-one-time-vs-recurring,Faceless AI Affiliate — recurring maths,EBOOK,,,,,,,,5-slide alternative — not yet posted
2026-07-29,alt5-ten-offers-isnt-a-strategy,Faceless AI Affiliate — focus,EBOOK,,,,,,,,5-slide alternative — not yet posted
2026-08-02,best-ai-model-for-beginners,Faceless AI Affiliate — best model for beginners,SYSTEM,,,,,,,,5 slides + infographics
2026-08-03,first-week-plan,Faceless AI Affiliate — week one execution,SYSTEM,,,,,,,,pure execution deck
2026-08-04,the-one-club-documented,The One Club — the whole system documented,FOUNDING,,,,,,,,8 slides — split layout, step pills, UI mockups
2026-08-05,first-line-patterns,Faceless AI Affiliate — writing the first line,HOOKS,,,,,,,,9 slides — teaching deck, no product mention until the CTA
2026-08-06,how-affiliates-get-paid,Faceless AI Affiliate — how the money actually moves,PAID,,,,,,,,9 slides — the payment chain and program vetting
